曲A,曲B,演奏公演数,全公演割合,演奏ツアー数,全ツアー割合
Invisible Sensation,Tettoutetsubi Yonayona Drive,49,0.04499540863177227,5,0.12195121951219512
Invisible Sensation,fake town baby,94,0.08631772268135904,5,0.12195121951219512
Full Color Program,Itsuka no Shounen,46,0.04224058769513315,5,0.12195121951219512
Full Color Program,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,56,0.051423324150596875,5,0.12195121951219512
Linear Blue wo Kikinagara,crazy birthday,57,0.05234159779614325,5,0.12195121951219512
"Catch up, latency",Sakura no Ato (all quartets lead to the?),44,0.04040404040404041,5,0.12195121951219512
Chandelier Waltz,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,57,0.05234159779614325,5,0.12195121951219512
Chandelier Waltz,Galileo no Showcase,70,0.0642791551882461,5,0.12195121951219512
Galileo no Showcase,Linear Blue wo Kikinagara,47,0.04315886134067952,5,0.12195121951219512
Bachigai Hummingbird,Tameiki shooting the MOON,45,0.04132231404958678,5,0.12195121951219512
Chandelier Waltz,Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,83,0.07621671258034894,5,0.12195121951219512
"Catch up, latency",Tettoutetsubi Yonayona Drive,34,0.031221303948576674,5,0.12195121951219512
Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,"kid, I like quartet",88,0.08080808080808081,5,0.12195121951219512
Galileo no Showcase,Itsuka no Shounen,68,0.06244260789715335,5,0.12195121951219512
Full Color Program,Gyakuten Sayonara,10,0.009182736455463728,5,0.12195121951219512
Boku wa Kimi ni Naritai,Love Song wa Totsuzen ni? ~What is the name of that mystery??~,49,0.04499540863177227,5,0.12195121951219512
Kimi no Hitomi ni Koishi Tenai,Tettoutetsubi Yonayona Drive,24,0.02203856749311295,5,0.12195121951219512
Counter Identity,Ride on Time,47,0.04315886134067952,5,0.12195121951219512
Boku wa Kimi ni Naritai,Sayonara Summer Time Machine,18,0.01652892561983471,4,0.0975609756097561
Invisible Sensation,Sakura no Ato (all quartets lead to the?),69,0.06336088154269973,4,0.0975609756097561
MR. Andy,Toushindai no Chikyu,54,0.049586776859504134,4,0.0975609756097561
"10% roll, 10% romance",Invisible Sensation,77,0.0707070707070707,4,0.0975609756097561
Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,Full Color Program,52,0.047750229568411386,4,0.0975609756097561
Tettoutetsubi Yonayona Drive,to the CIDER ROAD,46,0.04224058769513315,4,0.0975609756097561
