曲A(前),曲B(後),繋ぎ公演数,全公演での発生割合,繋ぎツアー数,全ツアーでの発生割合
Cheap Cheap Endroll,Friday Novels,2,0.0018365472910927456,1,0.024390243902439025
Mermaid Scandalous,Invisible Sensation,21,0.01928374655647383,1,0.024390243902439025
Tettoutetsubi Yonayona Drive,Cheap Cheap Endroll,10,0.009182736455463728,1,0.024390243902439025
Invisible Sensation,Friday Novels,20,0.018365472910927456,1,0.024390243902439025
Friday Novels,Karakuri Karukare,20,0.018365472910927456,1,0.024390243902439025
instant EGOIST,Full Color Program,2,0.0018365472910927456,1,0.024390243902439025
Karakuri Karukare,Nihil Pip Viper,20,0.018365472910927456,1,0.024390243902439025
Nihil Pip Viper,Dizzy Trickster,20,0.018365472910927456,1,0.024390243902439025
Dizzy Trickster,Sesshoku Vigilante,20,0.018365472910927456,1,0.024390243902439025
Sesshoku Vigilante,Yoru ga Yureteiru,20,0.018365472910927456,1,0.024390243902439025
Yoru ga Yureteiru,Natsukage Tail Light,20,0.018365472910927456,1,0.024390243902439025
Natsukage Tail Light,Orchestra o Mi ni Ikou,20,0.018365472910927456,1,0.024390243902439025
Orchestra o Mi ni Ikou,Phantom Joke,21,0.01928374655647383,1,0.024390243902439025
Instrumental Jam,Sekai wa Fancy,20,0.018365472910927456,1,0.024390243902439025
Chandelier Waltz,Master Volume,7,0.006427915518824609,1,0.024390243902439025
Sekai wa Fancy,Slow Curve wa Utenai (that made me crazy),20,0.018365472910927456,1,0.024390243902439025
Slow Curve wa Utenai (that made me crazy),Tengoku to Jigoku,21,0.01928374655647383,1,0.024390243902439025
Sugar Song to Bitter Step,101-kaime no Prologue,22,0.020202020202020204,1,0.024390243902439025
101-kaime no Prologue,crazy birthday,20,0.018365472910927456,1,0.024390243902439025
crazy birthday,Otonoba Chukan Shiken,20,0.018365472910927456,1,0.024390243902439025
Otonoba Chukan Shiken,Haru ga Kite Bokura,20,0.018365472910927456,1,0.024390243902439025
Snow Reverse,"kid, I like quartet",2,0.0018365472910927456,1,0.024390243902439025
Bachigai Hummingbird,Protract Countdown,8,0.0073461891643709825,1,0.024390243902439025
Sekai wa Fancy,Bachigai Hummingbird,1,0.0009182736455463728,1,0.024390243902439025
Karakuri Karukare,MR. Andy,5,0.004591368227731864,1,0.024390243902439025
Dareka ga Wasurete iru Kamoshirenai Bokura ni Daijina 001 no Koto,Snow Reverse,1,0.0009182736455463728,1,0.024390243902439025
Ride on Time,Master Volume,18,0.01652892561983471,1,0.024390243902439025
Master Volume,Sora no Tobikata,13,0.011937557392102846,1,0.024390243902439025
